Head,Relation,Tail,Title,Article,Original Tail,Original Article Text
union trust fund,establish,limited duration,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions ,for a limited duration,"For emergency and post-emergency actions necessary to react to a crisis, or for thematic actions, the Commission may establish Union trust funds for external actions (‘Union trust funds’) under an agreement concluded with other donors. Union trust funds shall only be established where agreements with other donors have secured contributions from other sources than the budget. The Commission shall consult the European Parliament and the Council on its intention to establish a Union trust fund for emergency and post-emergency actions. The establishment of a Union trust fund for thematic actions shall be subject to the approval of the European Parliament and of the Council. For the purposes of the third and fourth subparagraphs of this paragraph, the Commission shall make available to the European Parliament and to the Council its draft decisions concerning the establishment of a Union trust fund. Such draft decisions shall include a description of the objectives of the Union trust fund, the justification for its establishment in accordance with paragraph 3, an indication of its duration and the preliminary agreements with other donors. The draft decisions shall also include a draft constitutive agreement to be concluded with other donors. The Commission shall submit its draft decisions concerning the financing of a Union trust fund to the competent committee where provided for in the basic act under which the Union contribution to the Union trust fund is provided. The competent committee shall not be invited to pronounce itself on the aspects which have already been submitted to the European Parliament and to the Council for consultation or for approval under the third, fourth and fifth subpara­graphs of paragraph 1 respectively. Union trust funds shall only be established and implemented subject to the following conditions: (a) there is added value of the Union intervention: the objectives of Union trust funds, in particular by reason of their scale or potential effects, may be better achieved at Union level than at national level and the use of the existing financing instruments would not be sufficient to achieve policy objectives of the Union; (b) Union trust funds bring clear political visibility for the Union and managerial advantages as well as better control by the Union of risks and disbursements of the Union and other donors’ contributions;   (c) Union trust funds do not duplicate other existing funding channels or similar instruments without providing any additionality; (d) the objectives of Union trust funds are aligned with the objectives of the Union instrument or budgetary item from which they are funded. A board chaired by the Commission shall be established for each Union trust fund to ensure a fair representation of the donors and to decide upon the use of the funds. The board shall include a representative of each non-contributing Member State as an observer. The rules for the composition of the board and its internal rules shall be laid down in the constitutive agreement of the Union trust fund. Those rules shall include the requirement that a vote in favour by the Commission is needed for the final adoption of the decision on the use of the funds. Union trust funds shall be established for a limited duration as determined in their constitutive agreement. That duration may be extended by a decision of the Commission subject to the procedure set out in paragraph 1 upon request of the board of the Union trust fund concerned and upon presentation by the Commission of a report justifying the extension, confirming, in particular, that the conditions set out in paragraph 3 are complied with. The European Parliament and/or the Council may request the Commission to discontinue appropriations for a Union trust fund or to revise the constitutive agreement with a view to the liquidation of a Union trust fund, where appropriate in particular on the basis of the information submitted in the working document referred to in Article 41(6). In such an event, any remaining funds shall be returned on a pro rata basis to the budget as general revenue and to the contributing Member States and other donors."
union trust fund,determine,union trust fund,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions ,in union trust funds,"For emergency and post-emergency actions necessary to react to a crisis, or for thematic actions, the Commission may establish Union trust funds for external actions (‘Union trust funds’) under an agreement concluded with other donors. Union trust funds shall only be established where agreements with other donors have secured contributions from other sources than the budget. The Commission shall consult the European Parliament and the Council on its intention to establish a Union trust fund for emergency and post-emergency actions. The establishment of a Union trust fund for thematic actions shall be subject to the approval of the European Parliament and of the Council. For the purposes of the third and fourth subparagraphs of this paragraph, the Commission shall make available to the European Parliament and to the Council its draft decisions concerning the establishment of a Union trust fund. Such draft decisions shall include a description of the objectives of the Union trust fund, the justification for its establishment in accordance with paragraph 3, an indication of its duration and the preliminary agreements with other donors. The draft decisions shall also include a draft constitutive agreement to be concluded with other donors. The Commission shall submit its draft decisions concerning the financing of a Union trust fund to the competent committee where provided for in the basic act under which the Union contribution to the Union trust fund is provided. The competent committee shall not be invited to pronounce itself on the aspects which have already been submitted to the European Parliament and to the Council for consultation or for approval under the third, fourth and fifth subpara­graphs of paragraph 1 respectively. Union trust funds shall only be established and implemented subject to the following conditions: (a) there is added value of the Union intervention: the objectives of Union trust funds, in particular by reason of their scale or potential effects, may be better achieved at Union level than at national level and the use of the existing financing instruments would not be sufficient to achieve policy objectives of the Union; (b) Union trust funds bring clear political visibility for the Union and managerial advantages as well as better control by the Union of risks and disbursements of the Union and other donors’ contributions;   (c) Union trust funds do not duplicate other existing funding channels or similar instruments without providing any additionality; (d) the objectives of Union trust funds are aligned with the objectives of the Union instrument or budgetary item from which they are funded. A board chaired by the Commission shall be established for each Union trust fund to ensure a fair representation of the donors and to decide upon the use of the funds. The board shall include a representative of each non-contributing Member State as an observer. The rules for the composition of the board and its internal rules shall be laid down in the constitutive agreement of the Union trust fund. Those rules shall include the requirement that a vote in favour by the Commission is needed for the final adoption of the decision on the use of the funds. Union trust funds shall be established for a limited duration as determined in their constitutive agreement. That duration may be extended by a decision of the Commission subject to the procedure set out in paragraph 1 upon request of the board of the Union trust fund concerned and upon presentation by the Commission of a report justifying the extension, confirming, in particular, that the conditions set out in paragraph 3 are complied with. The European Parliament and/or the Council may request the Commission to discontinue appropriations for a Union trust fund or to revise the constitutive agreement with a view to the liquidation of a Union trust fund, where appropriate in particular on the basis of the information submitted in the working document referred to in Article 41(6). In such an event, any remaining funds shall be returned on a pro rata basis to the budget as general revenue and to the contributing Member States and other donors."
limited duration determine constitutive agreement,extend,union trust fund,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions ,by a decision of the commission subject to the procedure set out in paragraph 1 upon request of the board of the union trust fund concerned and upon presentation by the commission of a report justifying the extension confirming in particular that the conditions set out in paragraph 3 are complied with,"For emergency and post-emergency actions necessary to react to a crisis, or for thematic actions, the Commission may establish Union trust funds for external actions (‘Union trust funds’) under an agreement concluded with other donors. Union trust funds shall only be established where agreements with other donors have secured contributions from other sources than the budget. The Commission shall consult the European Parliament and the Council on its intention to establish a Union trust fund for emergency and post-emergency actions. The establishment of a Union trust fund for thematic actions shall be subject to the approval of the European Parliament and of the Council. For the purposes of the third and fourth subparagraphs of this paragraph, the Commission shall make available to the European Parliament and to the Council its draft decisions concerning the establishment of a Union trust fund. Such draft decisions shall include a description of the objectives of the Union trust fund, the justification for its establishment in accordance with paragraph 3, an indication of its duration and the preliminary agreements with other donors. The draft decisions shall also include a draft constitutive agreement to be concluded with other donors. The Commission shall submit its draft decisions concerning the financing of a Union trust fund to the competent committee where provided for in the basic act under which the Union contribution to the Union trust fund is provided. The competent committee shall not be invited to pronounce itself on the aspects which have already been submitted to the European Parliament and to the Council for consultation or for approval under the third, fourth and fifth subpara­graphs of paragraph 1 respectively. Union trust funds shall only be established and implemented subject to the following conditions: (a) there is added value of the Union intervention: the objectives of Union trust funds, in particular by reason of their scale or potential effects, may be better achieved at Union level than at national level and the use of the existing financing instruments would not be sufficient to achieve policy objectives of the Union; (b) Union trust funds bring clear political visibility for the Union and managerial advantages as well as better control by the Union of risks and disbursements of the Union and other donors’ contributions;   (c) Union trust funds do not duplicate other existing funding channels or similar instruments without providing any additionality; (d) the objectives of Union trust funds are aligned with the objectives of the Union instrument or budgetary item from which they are funded. A board chaired by the Commission shall be established for each Union trust fund to ensure a fair representation of the donors and to decide upon the use of the funds. The board shall include a representative of each non-contributing Member State as an observer. The rules for the composition of the board and its internal rules shall be laid down in the constitutive agreement of the Union trust fund. Those rules shall include the requirement that a vote in favour by the Commission is needed for the final adoption of the decision on the use of the funds. Union trust funds shall be established for a limited duration as determined in their constitutive agreement. That duration may be extended by a decision of the Commission subject to the procedure set out in paragraph 1 upon request of the board of the Union trust fund concerned and upon presentation by the Commission of a report justifying the extension, confirming, in particular, that the conditions set out in paragraph 3 are complied with. The European Parliament and/or the Council may request the Commission to discontinue appropriations for a Union trust fund or to revise the constitutive agreement with a view to the liquidation of a Union trust fund, where appropriate in particular on the basis of the information submitted in the working document referred to in Article 41(6). In such an event, any remaining funds shall be returned on a pro rata basis to the budget as general revenue and to the contributing Member States and other donors."
european parliament,andor,article,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions ,the council may request the commission to discontinue appropriations for a union trust fund or to revise the constitutive agreement of the union trust fund with a view to the liquidation of a union trust fund where appropriate in particular on the basis of the information submitted in the working document referred to in article 41(6),"For emergency and post-emergency actions necessary to react to a crisis, or for thematic actions, the Commission may establish Union trust funds for external actions (‘Union trust funds’) under an agreement concluded with other donors. Union trust funds shall only be established where agreements with other donors have secured contributions from other sources than the budget. The Commission shall consult the European Parliament and the Council on its intention to establish a Union trust fund for emergency and post-emergency actions. The establishment of a Union trust fund for thematic actions shall be subject to the approval of the European Parliament and of the Council. For the purposes of the third and fourth subparagraphs of this paragraph, the Commission shall make available to the European Parliament and to the Council its draft decisions concerning the establishment of a Union trust fund. Such draft decisions shall include a description of the objectives of the Union trust fund, the justification for its establishment in accordance with paragraph 3, an indication of its duration and the preliminary agreements with other donors. The draft decisions shall also include a draft constitutive agreement to be concluded with other donors. The Commission shall submit its draft decisions concerning the financing of a Union trust fund to the competent committee where provided for in the basic act under which the Union contribution to the Union trust fund is provided. The competent committee shall not be invited to pronounce itself on the aspects which have already been submitted to the European Parliament and to the Council for consultation or for approval under the third, fourth and fifth subpara­graphs of paragraph 1 respectively. Union trust funds shall only be established and implemented subject to the following conditions: (a) there is added value of the Union intervention: the objectives of Union trust funds, in particular by reason of their scale or potential effects, may be better achieved at Union level than at national level and the use of the existing financing instruments would not be sufficient to achieve policy objectives of the Union; (b) Union trust funds bring clear political visibility for the Union and managerial advantages as well as better control by the Union of risks and disbursements of the Union and other donors’ contributions;   (c) Union trust funds do not duplicate other existing funding channels or similar instruments without providing any additionality; (d) the objectives of Union trust funds are aligned with the objectives of the Union instrument or budgetary item from which they are funded. A board chaired by the Commission shall be established for each Union trust fund to ensure a fair representation of the donors and to decide upon the use of the funds. The board shall include a representative of each non-contributing Member State as an observer. The rules for the composition of the board and its internal rules shall be laid down in the constitutive agreement of the Union trust fund. Those rules shall include the requirement that a vote in favour by the Commission is needed for the final adoption of the decision on the use of the funds. Union trust funds shall be established for a limited duration as determined in their constitutive agreement. That duration may be extended by a decision of the Commission subject to the procedure set out in paragraph 1 upon request of the board of the Union trust fund concerned and upon presentation by the Commission of a report justifying the extension, confirming, in particular, that the conditions set out in paragraph 3 are complied with. The European Parliament and/or the Council may request the Commission to discontinue appropriations for a Union trust fund or to revise the constitutive agreement with a view to the liquidation of a Union trust fund, where appropriate in particular on the basis of the information submitted in the working document referred to in Article 41(6). In such an event, any remaining funds shall be returned on a pro rata basis to the budget as general revenue and to the contributing Member States and other donors."
remain fund,return,budget,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions ,in such an event on a pro rata basis to the budget as general revenue and to the contributing member states and other donors,"For emergency and post-emergency actions necessary to react to a crisis, or for thematic actions, the Commission may establish Union trust funds for external actions (‘Union trust funds’) under an agreement concluded with other donors. Union trust funds shall only be established where agreements with other donors have secured contributions from other sources than the budget. The Commission shall consult the European Parliament and the Council on its intention to establish a Union trust fund for emergency and post-emergency actions. The establishment of a Union trust fund for thematic actions shall be subject to the approval of the European Parliament and of the Council. For the purposes of the third and fourth subparagraphs of this paragraph, the Commission shall make available to the European Parliament and to the Council its draft decisions concerning the establishment of a Union trust fund. Such draft decisions shall include a description of the objectives of the Union trust fund, the justification for its establishment in accordance with paragraph 3, an indication of its duration and the preliminary agreements with other donors. The draft decisions shall also include a draft constitutive agreement to be concluded with other donors. The Commission shall submit its draft decisions concerning the financing of a Union trust fund to the competent committee where provided for in the basic act under which the Union contribution to the Union trust fund is provided. The competent committee shall not be invited to pronounce itself on the aspects which have already been submitted to the European Parliament and to the Council for consultation or for approval under the third, fourth and fifth subpara­graphs of paragraph 1 respectively. Union trust funds shall only be established and implemented subject to the following conditions: (a) there is added value of the Union intervention: the objectives of Union trust funds, in particular by reason of their scale or potential effects, may be better achieved at Union level than at national level and the use of the existing financing instruments would not be sufficient to achieve policy objectives of the Union; (b) Union trust funds bring clear political visibility for the Union and managerial advantages as well as better control by the Union of risks and disbursements of the Union and other donors’ contributions;   (c) Union trust funds do not duplicate other existing funding channels or similar instruments without providing any additionality; (d) the objectives of Union trust funds are aligned with the objectives of the Union instrument or budgetary item from which they are funded. A board chaired by the Commission shall be established for each Union trust fund to ensure a fair representation of the donors and to decide upon the use of the funds. The board shall include a representative of each non-contributing Member State as an observer. The rules for the composition of the board and its internal rules shall be laid down in the constitutive agreement of the Union trust fund. Those rules shall include the requirement that a vote in favour by the Commission is needed for the final adoption of the decision on the use of the funds. Union trust funds shall be established for a limited duration as determined in their constitutive agreement. That duration may be extended by a decision of the Commission subject to the procedure set out in paragraph 1 upon request of the board of the Union trust fund concerned and upon presentation by the Commission of a report justifying the extension, confirming, in particular, that the conditions set out in paragraph 3 are complied with. The European Parliament and/or the Council may request the Commission to discontinue appropriations for a Union trust fund or to revise the constitutive agreement with a view to the liquidation of a Union trust fund, where appropriate in particular on the basis of the information submitted in the working document referred to in Article 41(6). In such an event, any remaining funds shall be returned on a pro rata basis to the budget as general revenue and to the contributing Member States and other donors."
union trust fund,implement,sound financial management,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,proportionality nondiscrimination and equal treatment in accordance with the principles of sound financial management,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
action finance union trust fund,implement,article 621,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,directly by the commission pursuant to point of the first subparagraph of article 62(1,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
fund,pay,financial actor,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,by financial actors of the commission within the meaning of chapter 4 of title,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
accounting officer commission,serve,union trust fund,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,as the accounting officer of the union trust funds,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
contribution union donor,integrate,budget,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions ,in the budget,"Union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the Union contribution of the European Parliament and of the Council. Actions financed under Union trust funds may be implemented directly by the Commission pursuant to point (a) of the first subparagraph of Article 62(1) and indirectly with the entities implementing Union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of Article 62(1). Funds shall be committed and paid by financial actors of the Commission, within the meaning of Chapter 4 of Title IV. The accounting officer of the Commission shall serve as the accounting officer of the Union trust funds. He or she shall be responsible for laying down accounting procedures and chart of accounts common to all Union trust funds. The Commission’s internal auditor, OLAF and the Court of Auditors shall exercise the same powers over Union trust funds as they do in respect of other actions carried out by the Commission. The contributions of the Union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. The specific bank account of the Union trust fund shall be opened and closed by the accounting officer. All transactions made on the specific bank account during the year shall be properly accounted for in the accounts of the Union trust fund. Union contributions shall be transferred to the specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on the account and the resulting need for additional payments. Disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. The contributions of other donors shall be taken into account when cashed in the specific bank account of the Union trust fund and for the amount in euro resulting from the conversion at their reception on the specific bank account. Interests accumulated on the specific bank account of the Union trust fund shall be invested in the Union trust fund except where otherwise provided in the constitutive agreement of the Union trust fund. The Commission shall be authorised to use a maximum of 5 % of the amounts pooled into the Union trust fund to cover its management costs from the years in which the contributions referred to in paragraph 4 have started to be used. Notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the Union contribution to the Union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. For the duration of the Union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of Article 21(2). L 193/144  In addition to the annual report referred to in Article 252, financial reporting on the operations carried out by each Union trust fund shall be established twice every year by the authorising officer. The Commission shall also report monthly on the state of implementation of each Union trust fund. The Union trust funds shall be subject to an independent external audit every year."
