Head,Relation,Tail,Title,Article,Original Tail,Original Article Text
revenue expenditure,book,budget line,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,to a budget line,"All revenue and expenditure shall be booked to a budget line. Without prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no expenditure may be committed or authorised in excess of the authorised appropriations.   An appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. Interest generated by pre-financing payments made from the budget shall not be due to the Union except as otherwise provided in the contribution agreements or the financing agreements concerned. CHAPTER 2 Principle of annuality"
expenditure,commit,article,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,without prejudice to authorised expenditure arising from contingent liabilities as provided for in article 210(2,"All revenue and expenditure shall be booked to a budget line. Without prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no expenditure may be committed or authorised in excess of the authorised appropriations.   An appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. Interest generated by pre-financing payments made from the budget shall not be due to the Union except as otherwise provided in the contribution agreements or the financing agreements concerned. CHAPTER 2 Principle of annuality"
expenditure,authorise,authorise appropriation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,in excess of the authorised appropriations,"All revenue and expenditure shall be booked to a budget line. Without prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no expenditure may be committed or authorised in excess of the authorised appropriations.   An appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. Interest generated by pre-financing payments made from the budget shall not be due to the Union except as otherwise provided in the contribution agreements or the financing agreements concerned. CHAPTER 2 Principle of annuality"
appropriation,enter,budget,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,in the budget,"All revenue and expenditure shall be booked to a budget line. Without prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no expenditure may be committed or authorised in excess of the authorised appropriations.   An appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. Interest generated by pre-financing payments made from the budget shall not be due to the Union except as otherwise provided in the contribution agreements or the financing agreements concerned. CHAPTER 2 Principle of annuality"
appropriation,be,expenditure,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,only for an item of expenditure considered necessary,"All revenue and expenditure shall be booked to a budget line. Without prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no expenditure may be committed or authorised in excess of the authorised appropriations.   An appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. Interest generated by pre-financing payments made from the budget shall not be due to the Union except as otherwise provided in the contribution agreements or the financing agreements concerned. CHAPTER 2 Principle of annuality"
interest generate prefinance payment budget,be,union,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy ,due to the union except as otherwise provided in the contribution agreements or the financing agreements concerned,"All revenue and expenditure shall be booked to a budget line. Without prejudice to authorised expenditure arising from contingent liabilities as provided for in Article 210(2), no expenditure may be committed or authorised in excess of the authorised appropriations.   An appropriation shall be entered in the budget only if it is for an item of expenditure considered necessary. Interest generated by pre-financing payments made from the budget shall not be due to the Union except as otherwise provided in the contribution agreements or the financing agreements concerned. CHAPTER 2 Principle of annuality"
appropriation enter budget,authorise,financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 9  Definition ,for a financial year which shall run from 1 january to 31 december,The appropriations entered in the budget shall be authorised for a financial year which shall run from 1 January to 31 December.
revenue financial year,enter,year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations ,in the accounts for that year on the basis of the amounts collected during that year,"The revenue of a financial year shall be entered in the accounts for that year on the basis of the amounts collected during it. However, the own resources for the month of January of the following financial year may be made available in advance pursuant to Regulation (EU, Euratom) No 609/2014. The entries in respect of the Value Added Tax (VAT) and Gross National Income-based own resources may be adjusted in accordance with Regulation (EU, Euratom) No 609/2014. Commitments shall be entered in the accounts for a financial year on the basis of the legal commitments entered into up to 31 December of that year. However, the global budgetary commitments referred to in Article 112(4) shall be entered in the accounts for a financial year on the basis of the budgetary commitments up to 31 December of that year. Payments shall be entered in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 December of that year. By way of derogation from paragraphs 3 and 4: (a) the expenditure of the European Agricultural Guarantee Fund (EAGF) shall be entered in the accounts for a financial year on the basis of the repayments made by the Commission to Member States by 31 December of that year, provided that the payment order has reached the accounting officer by 31 January of the following financial year; (b) expenditure implemented under shared management with the exception of the EAGF shall be entered in the accounts for a financial year on the basis of the reimbursements made by the Commission to Member States by 31 December of that year, including the expenditure charged by 31 January of the following financial year as laid down in Articles 30 and 31."
commitment,enter,financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations ,in the accounts for a financial year on the basis of the legal commitments entered into up to 31 december of that year,"The revenue of a financial year shall be entered in the accounts for that year on the basis of the amounts collected during it. However, the own resources for the month of January of the following financial year may be made available in advance pursuant to Regulation (EU, Euratom) No 609/2014. The entries in respect of the Value Added Tax (VAT) and Gross National Income-based own resources may be adjusted in accordance with Regulation (EU, Euratom) No 609/2014. Commitments shall be entered in the accounts for a financial year on the basis of the legal commitments entered into up to 31 December of that year. However, the global budgetary commitments referred to in Article 112(4) shall be entered in the accounts for a financial year on the basis of the budgetary commitments up to 31 December of that year. Payments shall be entered in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 December of that year. By way of derogation from paragraphs 3 and 4: (a) the expenditure of the European Agricultural Guarantee Fund (EAGF) shall be entered in the accounts for a financial year on the basis of the repayments made by the Commission to Member States by 31 December of that year, provided that the payment order has reached the accounting officer by 31 January of the following financial year; (b) expenditure implemented under shared management with the exception of the EAGF shall be entered in the accounts for a financial year on the basis of the reimbursements made by the Commission to Member States by 31 December of that year, including the expenditure charged by 31 January of the following financial year as laid down in Articles 30 and 31."
global budgetary commitment,refer,article,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations ,however to in article 112(4,"The revenue of a financial year shall be entered in the accounts for that year on the basis of the amounts collected during it. However, the own resources for the month of January of the following financial year may be made available in advance pursuant to Regulation (EU, Euratom) No 609/2014. The entries in respect of the Value Added Tax (VAT) and Gross National Income-based own resources may be adjusted in accordance with Regulation (EU, Euratom) No 609/2014. Commitments shall be entered in the accounts for a financial year on the basis of the legal commitments entered into up to 31 December of that year. However, the global budgetary commitments referred to in Article 112(4) shall be entered in the accounts for a financial year on the basis of the budgetary commitments up to 31 December of that year. Payments shall be entered in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 December of that year. By way of derogation from paragraphs 3 and 4: (a) the expenditure of the European Agricultural Guarantee Fund (EAGF) shall be entered in the accounts for a financial year on the basis of the repayments made by the Commission to Member States by 31 December of that year, provided that the payment order has reached the accounting officer by 31 January of the following financial year; (b) expenditure implemented under shared management with the exception of the EAGF shall be entered in the accounts for a financial year on the basis of the reimbursements made by the Commission to Member States by 31 December of that year, including the expenditure charged by 31 January of the following financial year as laid down in Articles 30 and 31."
payment,enter,financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations ,in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 december of that year,"The revenue of a financial year shall be entered in the accounts for that year on the basis of the amounts collected during it. However, the own resources for the month of January of the following financial year may be made available in advance pursuant to Regulation (EU, Euratom) No 609/2014. The entries in respect of the Value Added Tax (VAT) and Gross National Income-based own resources may be adjusted in accordance with Regulation (EU, Euratom) No 609/2014. Commitments shall be entered in the accounts for a financial year on the basis of the legal commitments entered into up to 31 December of that year. However, the global budgetary commitments referred to in Article 112(4) shall be entered in the accounts for a financial year on the basis of the budgetary commitments up to 31 December of that year. Payments shall be entered in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 December of that year. By way of derogation from paragraphs 3 and 4: (a) the expenditure of the European Agricultural Guarantee Fund (EAGF) shall be entered in the accounts for a financial year on the basis of the repayments made by the Commission to Member States by 31 December of that year, provided that the payment order has reached the accounting officer by 31 January of the following financial year; (b) expenditure implemented under shared management with the exception of the EAGF shall be entered in the accounts for a financial year on the basis of the reimbursements made by the Commission to Member States by 31 December of that year, including the expenditure charged by 31 January of the following financial year as laid down in Articles 30 and 31."
payment order,reach,follow financial year expenditure,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations ,the accounting officer by 31 january of the following financial year expenditure implemented under shared management with the exception of the eagf,"The revenue of a financial year shall be entered in the accounts for that year on the basis of the amounts collected during it. However, the own resources for the month of January of the following financial year may be made available in advance pursuant to Regulation (EU, Euratom) No 609/2014. The entries in respect of the Value Added Tax (VAT) and Gross National Income-based own resources may be adjusted in accordance with Regulation (EU, Euratom) No 609/2014. Commitments shall be entered in the accounts for a financial year on the basis of the legal commitments entered into up to 31 December of that year. However, the global budgetary commitments referred to in Article 112(4) shall be entered in the accounts for a financial year on the basis of the budgetary commitments up to 31 December of that year. Payments shall be entered in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 December of that year. By way of derogation from paragraphs 3 and 4: (a) the expenditure of the European Agricultural Guarantee Fund (EAGF) shall be entered in the accounts for a financial year on the basis of the repayments made by the Commission to Member States by 31 December of that year, provided that the payment order has reached the accounting officer by 31 January of the following financial year; (b) expenditure implemented under shared management with the exception of the EAGF shall be entered in the accounts for a financial year on the basis of the reimbursements made by the Commission to Member States by 31 December of that year, including the expenditure charged by 31 January of the following financial year as laid down in Articles 30 and 31."
appropriation enter budget,commit,effect,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations ,with effect from 1 january,"The appropriations entered in the budget may be committed with effect from 1 January, once the budget has been definitively adopted. As of 15 October of the financial year, the following expenditure may be committed in advance against the appropriations provided for the following financial year: (a) routine administrative expenditure, provided that such expenditure has been approved in the last budget duly adopted, and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year; (b) routine management expenditure for the EAGF, provided that the basis for such expenditure is laid down in an existing basic act, and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year. L 193/32"
follow expenditure,commit,current financial yearthe current financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations ,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year,"The appropriations entered in the budget may be committed with effect from 1 January, once the budget has been definitively adopted. As of 15 October of the financial year, the following expenditure may be committed in advance against the appropriations provided for the following financial year: (a) routine administrative expenditure, provided that such expenditure has been approved in the last budget duly adopted, and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year; (b) routine management expenditure for the EAGF, provided that the basis for such expenditure is laid down in an existing basic act, and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year. L 193/32"
routine administrative expenditure,provide,current financial year routine management expenditure,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations ,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf,"The appropriations entered in the budget may be committed with effect from 1 January, once the budget has been definitively adopted. As of 15 October of the financial year, the following expenditure may be committed in advance against the appropriations provided for the following financial year: (a) routine administrative expenditure, provided that such expenditure has been approved in the last budget duly adopted, and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year; (b) routine management expenditure for the EAGF, provided that the basis for such expenditure is laid down in an existing basic act, and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year. L 193/32"
expenditure,approve,current financial year routine management expenditure,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations ,in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf,"The appropriations entered in the budget may be committed with effect from 1 January, once the budget has been definitively adopted. As of 15 October of the financial year, the following expenditure may be committed in advance against the appropriations provided for the following financial year: (a) routine administrative expenditure, provided that such expenditure has been approved in the last budget duly adopted, and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year; (b) routine management expenditure for the EAGF, provided that the basis for such expenditure is laid down in an existing basic act, and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year. L 193/32"
basis expenditure,lay,current financial yearthe current financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations ,in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year,"The appropriations entered in the budget may be committed with effect from 1 January, once the budget has been definitively adopted. As of 15 October of the financial year, the following expenditure may be committed in advance against the appropriations provided for the following financial year: (a) routine administrative expenditure, provided that such expenditure has been approved in the last budget duly adopted, and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year; (b) routine management expenditure for the EAGF, provided that the basis for such expenditure is laid down in an existing basic act, and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the European Parliament and by the Council for the current financial year. L 193/32"
