Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
european political party receive contribution,receive,other funding from the budget directly or indirectly,"['funding', 'budget']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
expenditure,finance,in no circumstances twice by the budget,"['circumstance', 'budget']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
contribution,be,without prejudice to the ability of the european political parties to build up reserves with amounts from the european political parties own resources in accordance with regulation (eu euratom,"['prejudice', 'ability', 'european political party', 'reserve', 'amount', 'european political party', 'resource', 'accordance', 'regulation', 'eu euratom']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
appropriation,set,aside for independent external audit bodies or experts,"['independent external audit body', 'expert']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 223  Budgetary aspects ,"Contributions, as well as appropriations set aside for independent external audit bodies or experts referred to in Article 23 of Regulation (EU, Euratom) No 1141/2014, shall be paid from the section of the budget relating to the European Parliament."
contribution,award,through a call for contributions published each year at least on the website of the european parliament,"['contribution', 'website', 'european parliament']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions ,"Contributions shall be awarded through a call for contributions published each year, at least on the website of the European Parliament. A European political party may be awarded only one contribution per year. A European political party may receive a contribution only if it applies for funding on the terms and conditions laid down in the call for contributions. The call for contributions shall determine the conditions under which the applicant may receive a contribution in accordance with Regulation (EU, Euratom) No 1141/2014, as well as the exclusion criteria. The call for contributions shall determine, at least, the nature of the expenditure that may be reimbursed by the contribution. The call for contributions shall require an estimated budget."
european political party,award,only one contribution per year,"['contribution', 'year']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions ,"Contributions shall be awarded through a call for contributions published each year, at least on the website of the European Parliament. A European political party may be awarded only one contribution per year. A European political party may receive a contribution only if it applies for funding on the terms and conditions laid down in the call for contributions. The call for contributions shall determine the conditions under which the applicant may receive a contribution in accordance with Regulation (EU, Euratom) No 1141/2014, as well as the exclusion criteria. The call for contributions shall determine, at least, the nature of the expenditure that may be reimbursed by the contribution. The call for contributions shall require an estimated budget."
european political party,receive,a contribution,['contribution'],TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions ,"Contributions shall be awarded through a call for contributions published each year, at least on the website of the European Parliament. A European political party may be awarded only one contribution per year. A European political party may receive a contribution only if it applies for funding on the terms and conditions laid down in the call for contributions. The call for contributions shall determine the conditions under which the applicant may receive a contribution in accordance with Regulation (EU, Euratom) No 1141/2014, as well as the exclusion criteria. The call for contributions shall determine, at least, the nature of the expenditure that may be reimbursed by the contribution. The call for contributions shall require an estimated budget."
european political party,apply,only for funding on the terms and conditions laid down in the call for contributions,"['funding', 'term', 'condition', 'contribution']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions ,"Contributions shall be awarded through a call for contributions published each year, at least on the website of the European Parliament. A European political party may be awarded only one contribution per year. A European political party may receive a contribution only if it applies for funding on the terms and conditions laid down in the call for contributions. The call for contributions shall determine the conditions under which the applicant may receive a contribution in accordance with Regulation (EU, Euratom) No 1141/2014, as well as the exclusion criteria. The call for contributions shall determine, at least, the nature of the expenditure that may be reimbursed by the contribution. The call for contributions shall require an estimated budget."
contribution,determine,the conditions under which the applicant may receive a contribution in accordance with regulation (eu euratom) no 11412014 as well as the exclusion criteria,"['condition', 'applicant', 'contribution', 'accordance', 'regulation', 'eu euratom', 'exclusion criterion']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions ,"Contributions shall be awarded through a call for contributions published each year, at least on the website of the European Parliament. A European political party may be awarded only one contribution per year. A European political party may receive a contribution only if it applies for funding on the terms and conditions laid down in the call for contributions. The call for contributions shall determine the conditions under which the applicant may receive a contribution in accordance with Regulation (EU, Euratom) No 1141/2014, as well as the exclusion criteria. The call for contributions shall determine, at least, the nature of the expenditure that may be reimbursed by the contribution. The call for contributions shall require an estimated budget."
applicant,receive,a contribution in accordance with regulation (eu euratom) under which,"['contribution', 'accordance', 'regulation', 'eu euratom']",TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions ,"Contributions shall be awarded through a call for contributions published each year, at least on the website of the European Parliament. A European political party may be awarded only one contribution per year. A European political party may receive a contribution only if it applies for funding on the terms and conditions laid down in the call for contributions. The call for contributions shall determine the conditions under which the applicant may receive a contribution in accordance with Regulation (EU, Euratom) No 1141/2014, as well as the exclusion criteria. The call for contributions shall determine, at least, the nature of the expenditure that may be reimbursed by the contribution. The call for contributions shall require an estimated budget."
